iso3,indicator_id,shapley_value
ARE,C1_notable_models,-0.109057
ARE,C2_training_compute,0.044836
ARE,C3_ai_publications,-0.048702
ARE,C4_ai_patents,0.0
ARE,C5_aisi_presence,-0.117058
ARE,G1_ai_strategy,-0.115048
ARE,G2_global_cybersec_index,0.164418
ARE,G3_vdem_libdem,-0.214358
ARE,G4_lab_mou_count,0.021261
ARE,G5_igsc_membership,-0.032727
ARE,G6_australia_group,-0.077789
ARE,I1_idi_2024,0.089895
ARE,I2_broadband,0.007418
ARE,I3_secure_servers,-0.030969
ARE,I5_ndgain_readiness,-0.01566
CAN,C1_notable_models,0.101026
CAN,C2_training_compute,0.002672
CAN,C3_ai_publications,0.005035
CAN,C4_ai_patents,0.0
CAN,C5_aisi_presence,0.078175
CAN,G1_ai_strategy,0.115478
CAN,G2_global_cybersec_index,-0.326817
CAN,G3_vdem_libdem,0.070269
CAN,G4_lab_mou_count,0.020683
CAN,G5_igsc_membership,-0.032109
CAN,G6_australia_group,0.042951
CAN,I1_idi_2024,-0.096999
CAN,I2_broadband,0.016252
CAN,I3_secure_servers,0.014702
CAN,I5_ndgain_readiness,0.004876
DEU,C1_notable_models,0.080472
DEU,C2_training_compute,0.002217
DEU,C3_ai_publications,0.018952
DEU,C4_ai_patents,-0.011031
DEU,C5_aisi_presence,-0.041471
DEU,G1_ai_strategy,-0.100173
DEU,G2_global_cybersec_index,0.001677
DEU,G3_vdem_libdem,0.079016
DEU,G4_lab_mou_count,-0.045062
DEU,G5_igsc_membership,-0.028066
DEU,G6_australia_group,0.037498
DEU,I1_idi_2024,-0.1109
DEU,I2_broadband,0.026359
DEU,I3_secure_servers,0.045721
DEU,I5_ndgain_readiness,0.019966
EUU,C1_notable_models,0.123726
EUU,C2_training_compute,0.103247
EUU,C3_ai_publications,0.067066
EUU,C4_ai_patents,0.0
EUU,C5_aisi_presence,0.076551
EUU,G1_ai_strategy,0.111702
EUU,G2_global_cybersec_index,-0.247039
EUU,G3_vdem_libdem,0.050728
EUU,G4_lab_mou_count,0.020029
EUU,G5_igsc_membership,0.012466
EUU,G6_australia_group,0.041578
EUU,I1_idi_2024,-0.032145
EUU,I2_broadband,0.026693
EUU,I3_secure_servers,0.035932
EUU,I5_ndgain_readiness,-0.022784
FRA,C1_notable_models,0.096645
FRA,C2_training_compute,0.075305
FRA,C3_ai_publications,0.009648
FRA,C4_ai_patents,-0.030249
FRA,C5_aisi_presence,0.089838
FRA,G1_ai_strategy,0.083369
FRA,G2_global_cybersec_index,0.060205
FRA,G3_vdem_libdem,0.071179
FRA,G4_lab_mou_count,0.01506
FRA,G5_igsc_membership,0.009379
FRA,G6_australia_group,0.031206
FRA,I1_idi_2024,-0.074014
FRA,I2_broadband,0.044006
FRA,I3_secure_servers,0.026069
FRA,I5_ndgain_readiness,0.007182
GBR,C1_notable_models,0.166985
GBR,C2_training_compute,0.012155
GBR,C3_ai_publications,0.03037
GBR,C4_ai_patents,-0.029911
GBR,C5_aisi_presence,0.097367
GBR,G1_ai_strategy,0.075478
GBR,G2_global_cybersec_index,0.102403
GBR,G3_vdem_libdem,0.032657
GBR,G4_lab_mou_count,0.107995
GBR,G5_igsc_membership,0.125765
GBR,G6_australia_group,0.028306
GBR,I1_idi_2024,0.027934
GBR,I2_broadband,0.01628
GBR,I3_secure_servers,0.030892
GBR,I5_ndgain_readiness,0.022854
IND,C1_notable_models,-0.079828
IND,C2_training_compute,-0.046905
IND,C3_ai_publications,0.040534
IND,C4_ai_patents,0.0
IND,C5_aisi_presence,-0.031721
IND,G1_ai_strategy,-0.077491
IND,G2_global_cybersec_index,0.032153
IND,G3_vdem_libdem,-0.093288
IND,G4_lab_mou_count,-0.034756
IND,G5_igsc_membership,-0.021625
IND,G6_australia_group,0.028761
IND,I1_idi_2024,-0.312319
IND,I2_broadband,-0.263624
IND,I3_secure_servers,-0.174383
IND,I5_ndgain_readiness,-0.228531
ISR,C1_notable_models,-0.037542
ISR,C2_training_compute,-0.018918
ISR,C3_ai_publications,-0.049676
ISR,C4_ai_patents,0.0
ISR,C5_aisi_presence,-0.092791
ISR,G1_ai_strategy,-0.188342
ISR,G2_global_cybersec_index,-0.399027
ISR,G3_vdem_libdem,0.012865
ISR,G4_lab_mou_count,-0.096851
ISR,G5_igsc_membership,0.032862
ISR,G6_australia_group,-0.135665
ISR,I1_idi_2024,-0.001023
ISR,I2_broadband,-0.023334
ISR,I3_secure_servers,-0.009977
ISR,I5_ndgain_readiness,-0.034031
JPN,C1_notable_models,0.001573
JPN,C2_training_compute,-0.007558
JPN,C3_ai_publications,0.009824
JPN,C4_ai_patents,0.029256
JPN,C5_aisi_presence,0.093424
JPN,G1_ai_strategy,0.086916
JPN,G2_global_cybersec_index,-0.013954
JPN,G3_vdem_libdem,0.052397
JPN,G4_lab_mou_count,0.015679
JPN,G5_igsc_membership,0.009764
JPN,G6_australia_group,0.032499
JPN,I1_idi_2024,0.01558
JPN,I2_broadband,0.001662
JPN,I3_secure_servers,0.00993
JPN,I5_ndgain_readiness,0.022362
KOR,C1_notable_models,0.093019
KOR,C2_training_compute,0.07756
KOR,C3_ai_publications,0.004003
KOR,C4_ai_patents,0.077632
KOR,C5_aisi_presence,0.088405
KOR,G1_ai_strategy,0.089613
KOR,G2_global_cybersec_index,0.121759
KOR,G3_vdem_libdem,0.055736
KOR,G4_lab_mou_count,-0.040576
KOR,G5_igsc_membership,0.01007
KOR,G6_australia_group,0.033517
KOR,I1_idi_2024,0.046926
KOR,I2_broadband,0.037341
KOR,I3_secure_servers,-0.015923
KOR,I5_ndgain_readiness,0.042755
SAU,C1_notable_models,-0.170777
SAU,C2_training_compute,0.047674
SAU,C3_ai_publications,-0.015535
SAU,C4_ai_patents,0.0
SAU,C5_aisi_presence,-0.115728
SAU,G1_ai_strategy,-0.112558
SAU,G2_global_cybersec_index,0.161194
SAU,G3_vdem_libdem,-0.22151
SAU,G4_lab_mou_count,0.020849
SAU,G5_igsc_membership,-0.032066
SAU,G6_australia_group,-0.076153
SAU,I1_idi_2024,0.059924
SAU,I2_broadband,0.017146
SAU,I3_secure_servers,-0.074469
SAU,I5_ndgain_readiness,-0.021291
SGP,C1_notable_models,-0.005704
SGP,C2_training_compute,0.054149
SGP,C3_ai_publications,-0.031859
SGP,C4_ai_patents,-0.017222
SGP,C5_aisi_presence,0.095326
SGP,G1_ai_strategy,0.099714
SGP,G2_global_cybersec_index,0.126751
SGP,G3_vdem_libdem,-0.082136
SGP,G4_lab_mou_count,0.017923
SGP,G5_igsc_membership,-0.0279
SGP,G6_australia_group,-0.066972
SGP,I1_idi_2024,0.109357
SGP,I2_broadband,-0.033245
SGP,I3_secure_servers,0.047882
SGP,I5_ndgain_readiness,0.062754
SWE,C1_notable_models,-0.153137
SWE,C2_training_compute,-0.077108
SWE,C3_ai_publications,-0.049597
SWE,C4_ai_patents,-0.030197
SWE,C5_aisi_presence,-0.148487
SWE,G1_ai_strategy,-0.082642
SWE,G2_global_cybersec_index,0.076095
SWE,G3_vdem_libdem,0.086167
SWE,G4_lab_mou_count,-0.036999
SWE,G5_igsc_membership,-0.023011
SWE,G6_australia_group,0.030568
SWE,I1_idi_2024,0.050388
SWE,I2_broadband,0.006841
SWE,I3_secure_servers,0.017159
SWE,I5_ndgain_readiness,0.026421
TWN,C1_notable_models,-0.313269
TWN,C2_training_compute,-0.480671
TWN,C3_ai_publications,-0.077208
TWN,C4_ai_patents,0.0
TWN,C5_aisi_presence,-0.231863
TWN,G1_ai_strategy,-0.08027
TWN,G2_global_cybersec_index,-0.075682
TWN,G3_vdem_libdem,0.039302
TWN,G4_lab_mou_count,-0.036125
TWN,G5_igsc_membership,-0.022503
TWN,G6_australia_group,-0.053922
TWN,I1_idi_2024,0.0
TWN,I2_broadband,0.0
TWN,I3_secure_servers,0.0
TWN,I5_ndgain_readiness,0.0
